<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,00:01:00,109090,109090,109074,109080,14,0,20
20230703,00:02:00,109080,109083,109080,109080,3,0,54
20230703,00:03:00,109080,109088,109080,109088,3,0,53
20230703,00:04:00,109097,109097,109097,109097,1,0,47
20230703,00:05:00,109097,109097,109088,109097,4,0,47
20230703,00:06:00,109095,109116,109095,109105,4,0,20
20230703,00:07:00,109105,109116,109092,109092,5,0,20
20230703,00:08:00,109092,109099,109092,109094,3,0,42
20230703,00:09:00,109094,109116,109094,109101,6,0,20
20230703,00:10:00,109101,109105,109101,109105,2,0,39
20230703,00:11:00,109102,109118,109102,109107,4,0,21
20230703,00:12:00,109107,109113,109107,109113,2,0,22
20230703,00:13:00,109107,109118,109107,109107,3,0,17
20230703,00:14:00,109107,109107,109105,109107,4,0,35
20230703,00:15:00,109103,109103,109103,109103,1,0,44
20230703,00:16:00,109107,109107,109103,109105,8,0,36
20230703,00:17:00,109103,109107,109099,109107,8,0,36
20230703,00:18:00,109107,109107,109107,109107,1,0,36
20230703,00:19:00,109105,109105,109105,109105,1,0,41
20230703,00:20:00,109102,109102,109067,109069,6,0,27
20230703,00:21:00,109087,109087,109081,109087,3,0,36
20230703,00:22:00,109081,109087,109077,109087,4,0,36
20230703,00:23:00,109080,109087,109068,109087,4,0,36
20230703,00:24:00,109068,109098,109068,109086,10,0,20
20230703,00:25:00,109084,109088,109080,109087,7,0,35
20230703,00:26:00,109090,109090,109084,109084,5,0,27
20230703,00:27:00,109095,109095,109087,109088,3,0,20
20230703,00:28:00,109086,109094,109084,109084,3,0,22
20230703,00:29:00,109084,109088,109078,109085,4,0,35
20230703,00:30:00,109080,109089,109080,109089,2,0,33
20230703,00:31:00,109075,109089,109075,109084,3,0,33
20230703,00:32:00,109080,109089,109080,109089,3,0,33
20230703,00:33:00,109084,109096,109080,109089,6,0,18
20230703,00:34:00,109094,109094,109084,109084,2,0,22
20230703,00:35:00,109084,109094,109084,109085,3,0,22
20230703,00:36:00,109081,109089,109080,109084,5,0,33
20230703,00:37:00,109084,109084,109084,109084,1,0,46
20230703,00:38:00,109078,109084,109076,109083,4,0,46
20230703,00:39:00,109079,109084,109079,109080,7,0,39
20230703,00:40:00,109081,109082,109079,109082,4,0,40
20230703,00:41:00,109084,109096,109075,109088,6,0,17
20230703,00:42:00,109080,109088,109068,109068,7,0,35
20230703,00:43:00,109094,109094,109062,109072,6,0,12
20230703,00:44:00,109088,109088,109072,109072,3,0,28
20230703,00:45:00,109087,109087,109074,109087,3,0,35
20230703,00:46:00,109065,109087,109065,109087,4,0,26
20230703,00:47:00,109087,109087,109068,109068,2,0,29
20230703,00:48:00,109087,109087,109067,109067,2,0,30
20230703,00:49:00,109087,109090,109071,109071,4,0,13
20230703,00:50:00,109087,109090,109070,109087,4,0,13
20230703,00:51:00,109071,109087,109066,109086,4,0,30
20230703,00:52:00,109087,109087,109067,109067,2,0,30
20230703,00:53:00,109070,109087,109066,109072,9,0,30
20230703,00:54:00,109073,109087,109065,109065,6,0,29
20230703,00:55:00,109087,109087,109067,109067,2,0,29
20230703,00:56:00,109087,109087,109066,109066,3,0,30
20230703,00:57:00,109087,109087,109070,109070,2,0,30
20230703,00:58:00,109071,109087,109069,109087,6,0,25
20230703,00:59:00,109068,109087,109067,109067,4,0,25
20230703,01:00:00,109066,109077,109066,109074,15,0,22
20230703,01:01:00,109080,109092,109073,109091,47,0,14
20230703,01:02:00,109090,109109,109090,109104,12,0,8
20230703,01:03:00,109104,109123,109098,109099,22,0,8
20230703,01:04:00,109106,109106,109099,109102,13,0,9
20230703,01:05:00,109102,109108,109100,109100,9,0,12
20230703,01:06:00,109101,109106,109099,109103,11,0,14
20230703,01:07:00,109103,109108,109103,109103,3,0,10
20230703,01:08:00,109103,109103,109101,109103,3,0,13
20230703,01:09:00,109103,109108,109100,109103,6,0,8
20230703,01:10:00,109101,109103,109090,109096,21,0,9
20230703,01:11:00,109095,109099,109093,109094,12,0,13
20230703,01:12:00,109094,109108,109094,109108,24,0,11
20230703,01:13:00,109105,109113,109101,109107,14,0,11
20230703,01:14:00,109106,109130,109106,109120,19,0,2
20230703,01:15:00,109123,109127,109119,109121,16,0,10
20230703,01:16:00,109121,109128,109118,109119,24,0,10
20230703,01:17:00,109119,109125,109114,109118,23,0,10
20230703,01:18:00,109118,109118,109115,109115,3,0,14
20230703,01:19:00,109122,109122,109114,109114,8,0,11
20230703,01:20:00,109118,109126,109115,109117,15,0,14
20230703,01:21:00,109115,109121,109115,109117,15,0,14
20230703,01:22:00,109118,109127,109113,109114,13,0,13
20230703,01:23:00,109114,109114,109106,109111,8,0,13
20230703,01:24:00,109111,109115,109110,109114,8,0,11
20230703,01:25:00,109113,109114,109111,109114,7,0,10
20230703,01:26:00,109112,109114,109107,109107,8,0,10
20230703,01:27:00,109107,109110,109105,109110,6,0,12
20230703,01:28:00,109110,109110,109108,109108,5,0,12
20230703,01:29:00,109107,109107,109104,109105,6,0,14
20230703,01:30:00,109106,109110,109105,109109,11,0,11
20230703,01:31:00,109109,109113,109106,109108,17,0,14
20230703,01:32:00,109108,109116,109108,109111,17,0,9
20230703,01:33:00,109111,109117,109109,109112,17,0,12
20230703,01:34:00,109112,109116,109110,109110,10,0,9
20230703,01:35:00,109110,109112,109108,109109,7,0,12
20230703,01:36:00,109109,109109,109088,109088,26,0,11
20230703,01:37:00,109088,109092,109086,109089,21,0,14
20230703,01:38:00,109090,109093,109089,109091,9,0,14
20230703,01:39:00,109090,109092,109089,109092,7,0,18
20230703,01:40:00,109093,109093,109084,109084,16,0,15
20230703,01:41:00,109086,109091,109083,109088,22,0,12
20230703,01:42:00,109088,109088,109087,109087,4,0,13
